PLAN DE ESTUDIOS,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,INICIO,FIN,SALA,TIPO,PROFESOR
PE2022,5779,,U1,ICA,5120,1,AIR QUALITY & ENVIRONMENTAL P,6,,,10:30 -13:20,,,,07/03/2022,22/06/2022,H-204,CLAS,RAKIC/. MIRJANA 
PE2022,5779,,U1,ICA,5120,1,AIR QUALITY & ENVIRONMENTAL P,6,,,10:30 -13:20,,,,13/04/2022,13/04/2022,H-204,PRBA 1,RAKIC/. MIRJANA 
PE2022,5779,,U1,ICA,5120,1,AIR QUALITY & ENVIRONMENTAL P,6,,,10:30 -13:20,,,,11/05/2022,11/05/2022,H-204,PRBA 2,RAKIC/. MIRJANA 
PE2022,5779,,U1,ICA,5120,1,AIR QUALITY & ENVIRONMENTAL P,6,,,10:30 -13:20,,,,08/06/2022,08/06/2022,H-204,PRBA 3,RAKIC/. MIRJANA 
PE2022,5779,,U1,ICA,5120,1,AIR QUALITY & ENVIRONMENTAL P,6,,,,,15:30 -17:20,,01/07/2022,01/07/2022,H-203,EXAM,RAKIC/. MIRJANA 
PE2016,3780,,U1,ICA,5102,1,AIR QUALITY AND ENVIRONMENTAL,6,,,10:30 -13:20,,,,07/03/2022,22/06/2022,H-204,CLAS,RAKIC/. MIRJANA 
PE2016,3780,,U1,ICA,5102,1,AIR QUALITY AND ENVIRONMENTAL,6,,,10:30 -13:20,,,,13/04/2022,13/04/2022,H-204,PRBA 1,RAKIC/. MIRJANA 
PE2016,3780,,U1,ICA,5102,1,AIR QUALITY AND ENVIRONMENTAL,6,,,10:30 -13:20,,,,11/05/2022,11/05/2022,H-204,PRBA 2,RAKIC/. MIRJANA 
PE2016,3780,,U1,ICA,5102,1,AIR QUALITY AND ENVIRONMENTAL,6,,,10:30 -13:20,,,,08/06/2022,08/06/2022,H-204,PRBA 3,RAKIC/. MIRJANA 
PE2016,3780,,U1,ICA,5102,1,AIR QUALITY AND ENVIRONMENTAL,6,,,,,15:30 -17:20,,01/07/2022,01/07/2022,H-203,EXAM,RAKIC/. MIRJANA 
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,07/03/2022,22/06/2022,B-22,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,15:30 -17:20,,,,07/03/2022,22/06/2022,B-32,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,08:30 -10:20,,,,,,02/03/2022,22/06/2022,R-14,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,07/03/2022,22/06/2022,H-013,AYUD,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3791,,,ING,1100,3,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,07/03/2022,22/06/2022,I012,AYUD,ZEGARRA/AGRAMONT LUIS GUILLERMO
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,02/03/2022,29/03/2022,B-32,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,05/04/2022,05/04/2022,Pendiente,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,12/04/2022,22/06/2022,B-25,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,08:30 -10:20,,,02/03/2022,22/06/2022,R-11,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,10:30 -12:20,,,,,28/06/2022,28/06/2022,C-217,EXAM,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3792,,,ING,1100,4,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,07/03/2022,22/06/2022,CEN 101,AYUD,BALLESTEROS/VERGARA RAIMUNDO TOMAS
PE2016,5780,,,ING,1100,5,ALGEBRA E INTR. AL CALCULO,10,14:30 -16:20,,,,,,07/03/2022,22/06/2022,I201,AYUD,CARVAJAL/RAMIREZ JOSE JOAQUIN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,15:30 -17:20,,,,07/03/2022,22/06/2022,C-217,AYUD,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,08:30 -10:20,,,,,,02/03/2022,22/06/2022,C-018,CLAS,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3789,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,19:30 -21:20,,,24/03/2022,24/03/2022,C-217,PRBA 1,PETERS/RODRIGUEZ EDUARDO FABIAN
PE2016,3790,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,08:30 -12:20,,,,,02/03/2022,22/06/2022,R-11,CLAS,SANCHEZ/CANCINO LEONARDO FRANCISCO
PE2016,3791,,,ING,1100,3,ALGEBRA E INTR. AL CALCULO,10,,,15:30 -17:20,,,,07/03/2022,22/06/2022,B-24,AYUD,ZEGARRA/AGRAMONT LUIS GUILLERMO
